"pat" "th"
41 2
339 0
685 0
1347 59
1572 112
1771 239
1645 286
1374 286
905 333
429 253
804 221
1260 111
1566 96
2326 52
3128 12
4014 13
4327 12
4365 0
3107 1
2049 1
2608 21
2747 36
1829 12
1080 9
2203 28
1965 5
1517 1
978 4
1207 0
1919 0
2901 4
3564 1
3669 1
3481 6
3370 0
2956 0
2018 0
1000 8
558 13
471 65
669 114
606 139
224 187
159 178
66 166
143 81
117 87
139 24
31 0
75 50
4 33
39 79
55 123
15 80
12 93
51 48
41 34
7 43
159 20
83 3
93 9
76 0
66 0
44 15
148 20
48 27
101 38
92 15
96 9
109 0
77 0
217 0
569 0
1564 4
2866 1
3589 0
4440 3
5003 5
5387 2
4388 1
3282 0
3095 3
4505 0
5024 0
4444 0
3146 0
2183 0
1840 0
1537 0
1215 0
884 0
1762 3
2606 0
3313 0
2424 0
1522 0
1876 0
2635 0
3592 4
4158 0
3940 4
3722 0
3250 0
2483 2
2613 10
2276 5
1401 1
1338 0
1641 2
1403 0
1024 0
391 0
322 0
698 0
466 0
277 0
547 0
586 0
85 0
136 0
174 0
178 0
451 0
615 0
279 3
12 0
159 0
58 0
0 0
116 0
75 0
0 0
24 3
42 4
4 20
156 17
14 35
13 42
11 6
15 1
0 19
37 47
3 91
1 99
18 154
117 123
414 159
489 162
68 245
129 315
463 122
663 204
345 54
467 98
386 120
320 60
128 56
43 75
20 138
34 71
15 42
4 106
15 279
0 511
17 787
0 728
0 737
0 838
10 683
0 674
1 893
0 1237
0 1249
16 1001
27 406
0 351
21 423
25 324
68 274
25 232
7 102
3 23
1 31
8 72
0 29
0 8
0 11
0 76
0 5
0 0
0 57
0 7
0 25
0 0
0 0
0 2
0 14
0 0
0 4
2 21
0 0
5 7
92 67
59 81
33 63
35 46
247 14
256 3
19 13
282 0
480 0
274 0
22 0
27 5
55 2
30 9
38 7
3 38
2 74
4 74
0 47
2 16
0 20
0 3
6 18
0 0
0 0
2 0
2 27
9 42
9 364
0 1363
0 2113
7 2226
4 2189
30 2385
2 2323
19 2536
40 2423
72 2567
38 2963
6 3133
10 3205
5 3201
2 3888
0 4330
33 4953
94 5868
40 7018
145 8208
28 7848
63 7024
66 6320
42 5425
58 4495
48 4294
46 4157
68 4243
36 4147
37 4269
44 4503
103 4724
40 4678
36 4760
25 4297
24 4168
37 3574
36 3098
11 2561
11 2506
6 1864
6 1867
2 1430
0 1413
4 800
0 549
3 400
1 321
0 231
36 302
1 1370
65 2019
14 2768
61 2988
61 3688
38 3945
56 4412
41 4393
29 4671
41 4813
32 5128
38 5378
83 5566
102 5549
93 6066
29 5909
76 6176
76 6671
93 6857
171 6428
104 7349
65 7640
59 7753
43 6796
49 6041
47 4905
25 4823
15 4677
105 4344
55 4094
44 3803
45 4440
40 4743
21 4937
18 4717
8 4315
0 3621
0 3181
0 2283
0 1582
0 1187
0 982
0 1243
4 1366
36 1625
41 1494
68 2111
74 2372
126 2592
557 2556
722 2394
537 2587
12 2969
47 2361
297 1915
688 1777
845 1726
549 1516
452 1612
976 1389
569 906
217 799
48 1075
141 1414
247 1493
78 1346
30 1082
38 1082
11 1546
17 1832
16 1250
0 756
0 374
0 554
0 678
3 838
0 801
0 474
11 640
1 935
0 1048
0 647
0 283
0 91
0 269
0 685
0 818
0 610
0 522
0 528
0 784
0 560
0 208
0 203
2 530
0 309
71 236
32 195
19 174
22 367
4 236
0 175
0 253
251 394
763 539
1095 565
1302 677
1391 612
1051 605
539 334
271 99
272 11
